,index,tract_id_proper,ci_score,op_score,so,srb,shs,chc,County FIPS Code,tract,tract_id
223,293,1208,4.5,3.625,0.16365000000000002,0.42745,0.50105,0.01,3,42003120800,120800
224,294,121,2.75,3.2666666666666666,0.16898,0.2703999999999998,0.2832333333333335,0.002,101,42101012100,012100
225,296,121.02,2.0,3.875,0.16110000000000002,0.3679,0.13545000000000001,0.0,71,42071012102,012102
226,297,121.03,1.25,3.95,0.1593,0.31834,0.17831999999999998,0.0,11,42011012103,012103
227,298,121.04,1.25,3.875,0.1698,0.3767,0.14825000000000002,0.0,11,42011012104,012104
228,299,121.05,1.0,3.75,0.15754999999999997,0.35050000000000003,0.19635000000000002,0.0,11,42011012105,012105
229,300,122,3.8333333333333335,3.65,0.15407,0.29622999999999994,0.2419600000000001,0.001,11,42011012200,012200
230,301,122.01,3.25,3.3214285714285716,0.14907142857142858,0.23208571428571428,0.2654,0.0014285714285714286,49,42049012201,012201
231,302,122.02,4.0,3.75,0.1325,0.2696,0.2539,0.0,49,42049012202,012202
232,305,123,3.0,3.522727272727273,0.15657272727272722,0.2989909090909093,0.2333818181818183,0.0009090909090909092,11,42011012300,012300
233,307,123.02,3.5,3.75,0.16105000000000003,0.35045000000000004,0.12259999999999999,0.0,71,42071012302,012302
234,308,124,2.8333333333333335,3.3846153846153846,0.15960769230769217,0.32834615384615395,0.35473076923076946,0.0007692307692307693,55,42055012400,012400
235,309,124.02,3.0,3.75,0.16105000000000003,0.35045000000000004,0.12259999999999999,0.0,71,42071012402,012402
236,310,124.03,2.0,3.8333333333333335,0.16913333333333336,0.3659333333333334,0.12123333333333335,0.0,71,42071012403,012403
237,311,124.04,2.0,3.75,0.16105000000000003,0.35045000000000004,0.12259999999999999,0.0,71,42071012404,012404
238,312,125,2.875,3.8541666666666665,0.17739166666666673,0.3254583333333334,0.3469083333333334,0.0016666666666666668,11,42011012500,012500
239,313,125.01,1.6666666666666667,3.611111111111111,0.1669555555555556,0.26152222222222216,0.24068888888888898,0.0011111111111111111,55,42055012501,012501
240,314,125.02,2.1666666666666665,3.7866666666666666,0.1740222222222222,0.28082222222222225,0.17464444444444444,0.0022222222222222222,55,42055012502,012502
241,315,126,3.0,3.8225,0.16356249999999994,0.300725,0.14882499999999996,0.0,41,42041012600,012600
242,316,126.01,2.5,3.96875,0.1444875,0.311075,0.2141125,0.00125,71,42071012601,012601
